time,Functions|power_history|scale_factor,Materials|clad_solid_mechanics|clad_solid_mechanics|youngs_modulus,_dt,ave_temp_interior,avg_clad_temp,clad_inner_vol,fis_gas_boundary,fis_gas_grain,fis_gas_produced,fis_gas_released,flux_from_clad,flux_from_fuel,gas_volume,initial_moles,max_stress,maximum_stress_criteria,nonlinear_its,pellet_volume,plenumTemp,plenum_pressure,rod_input_power,rod_total_power
-200,1.00888026972,76214429057.6,0,580,580,8.7824915257576e-06,0,0,0,0,3.6714979868599e-13,-1.0735172153936e-11,1.8928764205147e-06,0,0,500000,0,-6.8896151052429e-06,579.97986450603,0,0,0
0,1.00888026972,76214429057.6,200,580.00000002202,580.00000000425,8.8200899196017e-06,0,0,0,0,8.7334105331623e-05,6.6304478915089e-06,1.8766921183939e-06,0,44958.004458896,500000,3,-6.9433978012077e-06,579.97957045071,0,0,0
400,1.00888026972,76214429057.6,400,716.00634618698,581.65518182571,8.8202380752689e-06,nan,nan,3.9001767720693e-10,0,-105.93524188625,103.64483569621,1.8116817488017e-06,0,132663.26339438,500000,7,-7.0085563264672e-06,627.94522105959,0,124.53,124.55745188678
800,1.00888026972,76214429057.6,400,789.74529668212,583.69806149409,8.8204206168628e-06,nan,nan,1.5600707120923e-09,0,-237.40664334236,231.87703358413,1.7755942771904e-06,0,192787.56362546,500000,5,-7.0448263396724e-06,657.63953339185,0,249.06,249.11490481616
1200,1.00888026972,76214429057.6,400,837.78844702591,585.66653982524,8.8205966746862e-06,nan,nan,3.5101591160823e-09,0,-364.05972008729,355.63667265817,1.7510690183348e-06,0,230388.33418245,500000,4,-7.0695276563514e-06,676.70523479222,0,373.59,373.67236035203
1600,1.00888026972,76214429057.6,400,874.79299031276,587.60741293589,8.820770361585e-06,nan,nan,6.2402829103968e-09,0,-488.95455039769,477.51356361509,1.73135478245e-06,0,259175.65832811,500000,4,-7.0894155791351e-06,690.68054834765,0,498.12,498.22982005829
2000,1.00888026972,76214429057.6,400,905.53665736798,589.5500177638,8.8209442485093e-06,nan,nan,9.7504421260497e-09,0,-614.00371338202,598.68083298132,1.7143174303649e-06,0,283480.08655575,500000,4,-7.1066268181444e-06,701.80374117082,0,622.65,622.78728549884
2400,1.00888026972,76214429057.6,400,932.10334718984,591.47462292469,8.8211165713106e-06,nan,nan,1.4040636803849e-08,0,-737.89712941427,719.43172409972,1.6990345295125e-06,0,339793.1523098,500000,4,-7.1220820417982e-06,710.94341667746,0,747.18,747.34475823757
2800,1.00888026972,76214429057.6,400,955.66474699132,593.3949476219,8.8212885382459e-06,nan,nan,1.9110866994395e-08,0,-861.53331176407,839.82085343224,1.6850173628499e-06,0,395914.09533128,500000,4,-7.136271175396e-06,718.63948260397,0,871.71,871.90223983838
3200,1.00888026972,76214429057.6,400,976.93734821282,595.31189632929,8.8214602242672e-06,nan,nan,2.4961132758084e-08,0,-984.9682320857,959.81768442423,1.6719772653247e-06,0,451878.84548557,500000,4,-7.1494829589425e-06,725.23472443898,0,996.24,996.45973186517
3600,1.00888026972,76214429057.6,400,996.39926173247,597.22599032675,8.8216316632471e-06,nan,nan,3.1591434165105e-08,0,-1108.23387404,1079.4920766488,1.6597284516737e-06,0,507710.4565495,500000,3,-7.1619032115734e-06,730.95926466479,0,1120.77,1121.0172358819
4400,1.00888026972,76214429057.6,800,1031.1447803267,601.04915000839,8.8219741594392e-06,nan,nan,4.7192143927098e-08,0,-1354.4846931203,1318.1754545448,1.6371382560738e-06,0,618999.56592247,500000,4,-7.1848359033654e-06,740.26018473113,0,1369.83,1370.1322287975
5200,1.00888026972,76214429057.6,800,1061.7153998161,604.86156309275,8.8223157282869e-06,nan,nan,6.591299689249e-08,0,-1600.0860653413,1556.3417724522,1.6166106304952e-06,0,729969.52641598,500000,5,-7.2057050977917e-06,747.47776084789,0,1618.89,1619.2473285797
6000,1.00888026972,76214429057.6,800,1089.1632730518,608.66640064745,8.8226566537794e-06,nan,nan,8.7753994213691e-08,0,-1845.2419970876,1793.9618550208,1.5977998714885e-06,0,840610.21466512,500000,6,-7.2248567822909e-06,753.16702486478,0,1867.95,1868.3625055143
6800,1.00888026972,76214429057.6,800,1114.2104125064,612.49801646318,8.8229999751663e-06,nan,nan,1.1271513693538e-07,0,-2092.2129450298,2031.0710788272,1.5804579313811e-06,0,950966.61233362,500000,7,-7.2425420437852e-06,757.77782974788,0,2117.01,2117.4777721127
7600,1.00888026972,76214429057.6,800,1136.8253342402,616.20896876433,8.8233326082435e-06,nan,nan,1.4079642625894e-07,0,-2331.2732167383,2267.7683397985,1.5344924402426e-06,0,1058169.2278217,500000,9,-7.2888401680009e-06,750.46682243333,0,2366.07,2366.5931408863
8000,1.00888026972,76214429057.6,400,1147.620300532,618.07913917818,8.8235002313732e-06,nan,nan,1.5600712690519e-07,0,-2451.7897029126,2385.9245410487,1.5193467951921e-06,0,1112373.4871372,500000,6,-7.3041534361811e-06,748.84021752713,0,2490.6,2491.1510708062
8400,1.00888026972,76214429057.6,400,1158.0671122434,619.95014747673,8.8236679345286e-06,nan,nan,1.7199786540656e-07,0,-2572.3722652134,2503.9448308889,1.5059250299347e-06,0,1166584.1020598,500000,5,-7.3177429045939e-06,747.45567500848,0,2615.13,2615.708843293

