iteration,accepted,v0,angle,ymax,r
0.0,first,15.0,70.0,10.1367346863,14.7578787938
1.0,accepted,170.0,58.8502986362,1079.95412904,2610.99344312
2.0,rejected,170.0,10.0,44.4613076349,1008.61042266
3.0,rerun,170.0,58.8502986362,1079.95412904,2610.99344312
4.0,rejected,170.0,13.9894478388,86.1688459615,1383.50288229
5.0,rerun,170.0,58.8502986362,1079.95412904,2610.99344312
6.0,rejected,170.0,16.4786446152,118.64015279,1604.2853054
7.0,rerun,170.0,58.8502986362,1079.95412904,2610.99344312
8.0,rejected,170.0,20.404332355,179.227012862,1927.26159917
9.0,rerun,170.0,58.8502986362,1079.95412904,2610.99344312
10.0,rejected,170.0,25.0022770774,263.397903877,2259.20009124
11.0,rerun,170.0,58.8502986362,1079.95412904,2610.99344312
12.0,rejected,170.0,28.0438357285,325.918501952,2447.33531994
13.0,rerun,170.0,58.8502986362,1079.95412904,2610.99344312
14.0,rejected,170.0,30.1036423604,370.934723779,2559.20892733
15.0,rerun,170.0,58.8502986362,1079.95412904,2610.99344312
16.0,accepted,170.0,33.3396713702,445.386886331,2708.05890812
17.0,rejected,170.0,58.3001803453,1067.35715087,2636.8342839
18.0,rerun,170.0,33.3396713702,445.386886331,2708.05890812
19.0,accepted,170.0,55.3741697451,998.424177569,2757.72492746
19.0,final,170.0,55.3741697451,998.424177569,2757.72492746
